INFO:root:Number of parameters: 369498
INFO:root:207: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:208: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:209: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:210: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:211: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:212: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:213: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:214: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:215: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:216: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:217: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:218: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:219: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:220: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:221: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0959
INFO:root:222: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0959
INFO:root:223: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0959
INFO:root:224: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0959
INFO:root:225: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:226: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:227: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0960
INFO:root:228: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:229: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:230: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0961
INFO:root:231: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:232: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:233: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:234: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:235: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:236: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0962
INFO:root:237: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:238: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:239: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:240: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:241: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:242: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:243: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:244: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:245: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:246: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:247: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:248: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:249: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:250: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:251: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:252: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:253: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:254: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:255: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:256: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:257: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:258: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:259: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:260: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:261: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:262: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:263: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:264: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
INFO:root:265: Acc-tr: 100.00, Acc-val:  26.56, L-tr: 0.0005, L-val: 4.0963
